CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,Childwhynotschool_nodocs,Childwhynotschool_nomoney,Childwhynotschool_failedschool,Childwhynotschool_childwork,Childwhynotschool_fearschool,Childwhynotschool_disease,Childwhynotschool_disability,Childwhynotschool_helphome,Childwhynotschool_familynot,Childwhynotschool_noschools,Childwhynotschool_nointerest,Childwhynotschool_pregnancy,Childwhynotschool_nospot,Childwhynotschool_notransport,Childwhynotschool_discrimnation,Childwhynotschool_discrimethnic,Childwhynotschool_disability,Childwhynotschool_finished,Childwhynotschool_recentlyarrive,Childwhynotschool_intransit,Childwhynotschool_noinfo,Childwhynotschool_toolate,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical,whynotMedical_nomoney,whynotMedical_noinsurance,whynotMedical_noID,whynotMedical_noinfo,whynotMedical_feararrested,whynotMedical_distance,whynotMedical_notavailable,whynotMedical_denied,Year
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,4.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,stay,2.0,0.0,no,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Disagree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,7.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,stay,4.0,3.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,3.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,dontknow,4.0,2.0,yes,1,yes,Nainpersonclasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,stay,3.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,1,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,5.0,yes,1,yes,Nainpersonclasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Undecided,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,dontknow,1.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,4.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,stay,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,stay,2.0,2.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Agree,0,0,0,0,0,0,0,0,0,1,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,3.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,3.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,3.0,4.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,stay,4.0,3.0,yes,0,yes,Nainpersonclasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,stay,3.0,1.0,yes,1,yes,Nainpersonclasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,relocate,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,StronglyAgree,0,0,1,1,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,3.0,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,1,1,1,1,0,0,0,0,2022
CostaRica,nicaragua,,stay,1.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,StronglyDisagree,0,0,0,1,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,1,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,stay,2.0,2.0,no,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,3.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,2.0,5.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,3.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,2.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,,6.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,2.0,4.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,1,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,1.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,1.0,2.0,yes,0,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,venezuela,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,stay,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,other,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,6.0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,1.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,3.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,2.0,3.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,,1.0,0.0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,relocate,1.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
CostaRica,nicaragua,,stay,5.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,2022
